config,n_dets,n_trks,time_ns
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,81,51,12677860
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,94,60,13611678
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,132,77,19859229
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,88,65,17323982
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,63,52,11989482
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,67,52,11450349
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,56,49,10146689
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,63,46,10503246
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,60,46,10440009
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,64,44,10955519
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,57,45,9656938
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,63,40,10073665
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,68,41,10506252
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,63,39,9736574
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,58,45,9567703
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,58,41,9889797
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,57,42,9285083
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,69,50,11152952
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,67,47,11229904
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,137,41,9696351
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,141,40,14605608
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,162,48,16841614
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,167,55,19379456
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,177,58,89156921
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,157,69,19894465
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,169,60,22741745
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,158,58,20799850
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,182,61,23706331
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,188,70,28590193
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,193,67,25717244
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,205,73,27154460
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,202,66,28448011
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,213,71,27746940
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,207,65,28745067
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,209,75,28959131
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,217,76,30102887
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,245,94,33268635
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,238,91,38284128
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,229,91,33725387
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,239,95,36684834
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,242,88,38418395
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,228,76,35846200
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,223,83,38467867
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,206,77,28372952
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,226,75,31981756
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,188,65,25210070
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,186,61,23208155
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,190,61,25956694
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,166,61,23537901
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,176,62,22818356
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,176,54,24664145
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,194,56,23790397
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,189,54,22585499
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,190,52,20929620
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,173,49,19724020
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,181,53,20294902
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,183,54,21525046
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,202,56,22703175
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,89,30,8392971
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,65,35,9482577
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,79,43,9419371
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,69,42,9682746
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,60,42,9418478
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,73,41,9913951
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,69,43,9720023
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,66,39,9721747
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,74,45,10672277
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,64,42,10145617
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,67,42,9894184
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,76,43,10435381
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,72,43,10267030
hungarian_dist2_cvcy_obj_conf_padd_40_noyc,92,48,13260562
